catalogWave,sourceId,sourceName,provider,officialGovernmentOrSRO,modelStage,evidenceBranch,priority,officialCoverage,accessMode,sizeClass,landingPage,collectionUnit,pointInTimeRule,projectUse,interpretationCaveat,packageStatus
WAVE1,NASDAQ_HIST_DAILY_LIST,Historical Nasdaq Daily List,Nasdaq,0,Stage0,historical identity/corporate action,EXCLUDED_PAID,historical,PAID,MEDIUM,https://www.nasdaqtrader.com/Trader.aspx?id=DailyList,day,announcement/effective date,historical corporate actions,Historical product is not treated as free,EXCLUDED_PAID
WAVE1,NYSE_SHORT_DATA,NYSE short-sale data,NYSE,0,Stage2B,short flow,EXCLUDED_PAID,provider coverage,PAID,LARGE,https://www.nyse.com/market-data/historical,file,date/timestamp,exchange short-flow complement,Paid/proprietary; not included in free-first package,EXCLUDED_PAID
WAVE1,V20_FILING_TIMELINES,SEC filing occurrence timelines already materialized,SEC,1,Stage1/2A/2B,filing activity,P0_EXISTING,1994-2026,IN_PACKAGE,MEDIUM,,filing row,filing_date < cutoff,"filing velocity, burst, form mix",Occurrence is not transaction content or causal proof,ACTUAL_DATA_INCLUDED
WAVE1,V22_ACCEPTANCE_SESSION,EDGAR filing acceptance-session features already materialized,SEC,1,Stage2A/2B,filing timing,P0_EXISTING,event panel through 2026,IN_PACKAGE,SMALL,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,event filing summary,accepted timestamp < cutoff,premarket/regular/after-hours/overnight filing timing,Use preclose/T0-safe variants separately,ACTUAL_DATA_INCLUDED
WAVE1,V22_COMPANYFACTS,SEC Companyfacts PIT features already materialized,SEC,1,Stage1/2A/2B,fundamental/dilution,P0_EXISTING,"issuer-dependent, through 2026",IN_PACKAGE,MEDIUM,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,event/issuer fact,filed < cutoff,"financial weakness, dilution, float, changes",Structured facts do not replace original filing,ACTUAL_DATA_INCLUDED
WAVE1,V22_MARKET_REGIME,24-ETF market and sector regime already materialized,Derived from public market data,0,Stage1/2A/2B,market/sector,P0_EXISTING,1999-2026,IN_PACKAGE,MEDIUM,,daily/event,market date <= cutoff,"broad rally/selloff, breadth, dispersion, relative return",Not legal evidence,ACTUAL_DATA_INCLUDED
WAVE1,FINRA_DAILY_SHORT,Daily Short Sale Volume Files,FINRA,1,Stage1/2A/External Evidence,off-exchange short flow,P1,daily files from 2009-11-09; consolidated NMS from 2018-08-01,NO_KEY_TEXT,MEDIUM,https://www.finra.org/finra-data/browse-catalog/short-sale-volume-data/daily-short-sale-volume-files,trade-date TXT,trade_date < cutoff,"short/total volume, venue mix, persistence","Not exchange-consolidated, not short interest; avoid family double count",EXACT_DATE_QUEUE_INCLUDED
WAVE1,SEC_CROWDFUNDING,Crowdfunding Data Sets,SEC,1,Stage1/2A,financing/dilution,P1,2016-05 through 2026,NO_KEY_BULK,SMALL,https://www.sec.gov/data-research/sec-markets-data/crowdfunding-offerings-data-sets,quarter ZIP,filing_date < cutoff,Reg CF financing and issuer network,Likely sparse for listed issuers; retain for issuer/link analysis,QUEUED_DYNAMIC_DISCOVERY
WAVE1,SEC_DAILY_INDEX,EDGAR daily/full index files,SEC,1,Stage0/External Evidence,identity/filings,P1,historical through current,NO_KEY_INDEX,LARGE,https://www.sec.gov/about/developer-resources,day/quarter index,filing date < cutoff,form chronology and accession discovery,"Index gives filing metadata, not full evidence",QUEUED_GENERATOR_INCLUDED
WAVE1,SEC_EDGAR_LOGS,EDGAR Log File Data Sets,SEC,1,Stage2A/External Evidence,public attention,P1,2003-01-01..2017-06-30; 2020-05-19..2025-06-30,NO_KEY_DAILY_ZIP,VERY_LARGE,https://www.sec.gov/data-research/sec-markets-data/edgar-log-file-data-sets,day ZIP,log_date < cutoff,"pre-event filing attention, unique IP/user-agent aggregates",Coverage gap 2017-07-01..2020-05-18; privacy/filter changes across eras,EXACT_DATE_MANIFEST_INCLUDED
